,tweet,favourite_count,retweet_count,created_at
39,How Apple’s AirTag turns us into unwitting spies in a vast surveillance network https://t.co/RAHhPVNCJx,12,6,2021-05-17 02:01:35
40,How Apple’s AirTag turns us into unwitting spies in a vast surveillance network https://t.co/uG7VNi5x4z,1,2,2021-05-17 02:00:13
41,"@juneforceone @mrleblanc101 @xbachl @SnazzyQ while the airtag just has an arrow, this has a bubble effect around the tag itself so you can find it much much easier",4,0,2021-05-17 01:59:46
42,New AppleTV remote should have an airtag built into it. 🤷🏻‍♂️,2,0,2021-05-17 01:58:33
43,How Apple’s AirTag turns us into unwitting spies in a vast surveillance network https://t.co/vvBMYEztc7,0,0,2021-05-17 01:55:01
44,Buying an AirTag for review... https://t.co/EGiskyEd2V,1,0,2021-05-17 01:54:09
45,#Apple #Dataandcomputersecurity How Apple’s AirTag turns us into unwitting spies in a vast surveillance network https://t.co/ft7BblnuI1,0,0,2021-05-17 01:48:06
46,How Apple’s AirTag turns us into unwitting spies in a vast surveillance network https://t.co/KFyPStmVe5 #Apple #Dataandcomputersecurity #Dataprotection #Surveillance,0,0,2021-05-17 01:48:03
47,How Apple’s AirTag turns us into unwitting spies in a vast surveillance network: https://t.co/hlRXuZg1CH,0,0,2021-05-17 01:47:39
48,The Guardian: How Apple’s AirTag turns us into unwitting spies in a vast surveillance network https://t.co/h5tS79xyiA https://t.co/cfWd1EcpFM,0,0,2021-05-17 01:45:27
49,"Me: Putting an AirTag on AirPods is dumb. 

Also me: I can’t find my AirPods.",1,0,2021-05-17 01:45:18
50,"Accurately track your bags, keys and more with the new Apple AirTags

Price: $29.99
Link: https://t.co/hWcw25mYu3

Grab a holder for your AirTags here as well: https://t.co/LOKzv0Xdi5 https://t.co/B9ouJbVvwR",0,0,2021-05-17 01:40:03
51,How Apple’s AirTag turns us into unwitting spies in a vast surveillance network: The tech giant says it has security safeguards in place. But these tracking devices can be hacked and put to other nefarious purposes Apple has launched the latest version… https://t.co/XRQWLgYhvd https://t.co/ju7w0B2VYP,0,0,2021-05-17 01:39:34
52,How Apple’s AirTag turns us into unwitting spies in a vast surveillance network https://t.co/u3L5N0fIVM #cybersecurity,0,3,2021-05-17 01:38:38
53,@SatoshiSarah @JeremyRubin @antoniogm Sure for your AirTag😎,1,0,2021-05-17 01:32:35
54,Next big idea: airtag sniffer https://t.co/43lZCKrdli,0,0,2021-05-17 01:26:29
55,Apple AirTag hacked again – free internet with no mobile data plan! https://t.co/RGnp0qOlhR #security #data #hacking #hacker,0,0,2021-05-17 01:22:13
56,@agiletortoise @prendio2 Am I right the privacy features of the airtag it will tell you when you're wearing someone else's pants?,1,0,2021-05-17 01:18:44
57,"Convenience vs #privacy... The Apple #AirTag debate. @ECUSRI's @pdowland breaks down the useful and concerning aspects of Apple's latest gadget.
https://t.co/C8lcRarCME",1,0,2021-05-17 01:11:51
58,@SteveMoser @SnazzyQ I’ve lost my AirPods twice. Each time it was when they were in the case so Find My didn’t help. If there was a U1 always active like AirTag I could find them way easier.,7,0,2021-05-17 01:00:38
59,@SnazzyQ I think it is amazing. Could be better if showing the height but it saved my ass just yesterday couldn’t hear anything it was so loud where I was but with uw it directed me to the airtag.,0,0,2021-05-17 00:55:07
60,Girls ain’t stealing my backpack again next year! Got that Apple AirTag on its way💪,2,0,2021-05-17 00:54:05
61,"store is here, please buy one and keep him out of trouble this summer https://t.co/2QsPUIp50X",5,0,2021-05-17 00:53:14
62,I asked a friend to drop an AirTag somewhere in town to see if I could find it. https://t.co/sgAZT99KcB,1,0,2021-05-17 00:50:50
63,"Parenting tip. When you go to Disneyland, put an AirTag in each child’s pocket.
Now if they wander off you can know exactly where they are.",3,0,2021-05-17 00:50:16
64,What’s the point of an Airtag?,1,0,2021-05-17 00:46:49
65,"I bought an AirTag and received it a week ago, but all the keychain accessories are on back order so basically it’s useless right now.",0,0,2021-05-17 00:40:43
66,@gplama the wahoo cadence sensor holders double nicely as an AirTag keychain 👌 https://t.co/D6wujHjBLw,17,1,2021-05-17 00:39:52
67,Are you being stalked with an AirTag? That's how you turn it off https://t.co/H7q2m1qIxs via @techlargest,1,0,2021-05-17 00:34:21
68,@SnazzyQ I’m more curious about the AR Finder feature of Samsung SmartTag+ That leverage UWB to shown the exact location of the tracker on the camera instead of just directions like AirTag. https://t.co/t8ZmzmJe1s,26,0,2021-05-17 00:30:46
69,"@SnazzyQ To me, the thing that makes the AirTag 100% better than any other tracker is the iOS network. Everything else is just 🤷‍♂️",5,0,2021-05-17 00:28:53
70,"Perhaps this is just me, but I don’t find the AirTag U1 chip to be all that useful. By the time the signal is strong enough to demonstrate direction it’s basically already line of sight.",470,6,2021-05-17 00:25:46
71,The question that comes to my mind is why? A researcher claims to hack AirTag so it points to the wrong website when scanned via @MashableSEA #tech #Apple #AirTags https://t.co/wNKzF1srS1 https://t.co/Rw2WiBiAvc,0,0,2021-05-17 00:24:03
72,My #3DPrinted #AirTag holder is a perfect fit (after using a heatgun to warm it up) https://t.co/gwNcbPkypi https://t.co/2rkiIiGdNM,2,0,2021-05-17 00:22:28
73,Brb while I order an airtag,0,0,2021-05-17 00:18:02
74,"Bought yourself an Apple AirTag to track your purse, keys, wallet or briefcase? Here's how to set it up to make sure it works great and helps you find whatever you seek! https://t.co/NeGuIoPBL9 #apple #airtags #privacy #setup https://t.co/GjwM54Bdgm",2,0,2021-05-17 00:11:00
