favourite_count|retweet_count|created_at|tweet_cleaned|tweet_preprocessed
0.0|0|2021-05-09 16:30:51|I dont need the Apple airtag right now but I know I will. I should grab a couple now before they get popular and the price rockets|['dont', 'need', 'apple', 'airtag', 'right', 'know', 'grab', 'couple', 'get', 'popular', 'price', 'rocket']
0.0|0|2021-05-09 16:30:07|Apple's $29 AirTag might just be the best tracking device ever invented. That's good for your stuff, not so good for people.|['apple', 'airtag', 'might', 'best', 'track', 'device', 'ever', 'invent', 'good', 'stuff', 'good', 'people']
2.0|2|2021-05-09 16:28:51|: These are the stages you should follow if you want to reset your AirTag|['stage', 'follow', 'want', 'reset', 'airtag']
0.0|0|2021-05-09 16:28:03|Amazon partners with Tile to counter ApplesAirTag|['amazon', 'partner', 'tile', 'counter', 'applesairtag']
64.0|3|2021-05-09 16:27:18|"""AirTag hacked for the first time by security researcher"""|['airtag', 'hack', 'first', 'time', 'security', 'researcher']
0.0|0|2021-05-09 16:25:28|I thought key chain was excessive price for $349, then I saw they sell this key ring without any Airtag or technology for a cool $1000.|['thought', 'key', 'chain', 'excessive', 'price', 'saw', 'sell', 'key', 'ring', 'without', 'airtag', 'technology', 'cool']
0.0|1|2021-05-09 16:25:04|Apple's new AirTag is a small, accurate tracker for your device, but many are worried about the safety implications.|['apple', 'new', 'airtag', 'small', 'accurate', 'tracker', 'device', 'many', 'worried', 'safety', 'implication']
1.0|0|2021-05-09 16:24:50|New Apple AirTag, now on Amazon:|['new', 'apple', 'airtag', 'amazon']
0.0|0|2021-05-09 16:24:13|Yet another I cant believe Apple did this: AirTag hacked for the first time by security researcher [Video]|['yet', 'another', 'cant', 'believe', 'apple', 'airtag', 'hack', 'first', 'time', 'security', 'researcher', 'video']
8.0|0|2021-05-09 16:18:15|Buying new remote is cheaper than buying a AirTag|['buying', 'new', 'remote', 'cheaper', 'buying', 'airtag']
12.0|0|2021-05-09 16:18:02|AirTag fits just fine in my wallet|['airtag', 'fit', 'fine', 'wallet']
1.0|0|2021-05-09 16:18:01|You have to hold the AirTag so precisely to the back of the iPhone. More on this in column here:|['hold', 'airtag', 'precisely', 'back', 'iphone', 'column']
1.0|0|2021-05-09 16:17:32|Someone made an airtag Apple TV remote case. Its on Etsy|['someone', 'make', 'airtag', 'apple', 'tv', 'remote', 'case', 'etsy']
